     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   31.,    2.0,   0.75, -0.062,  -0.12,   0.11, -0.063,  -0.12, -0.059, 
   55.,    2.0,   0.62,   0.12,   0.12,  0.072,  0.063,    0.0,  0.071, 
   33.,    0.0,   0.21, -0.0043,  0.013,  0.079, -0.0088, -0.019, -0.015, 
   75.,    3.0,   0.98, -0.017,  0.010, -0.0012, -0.00080, -0.0015, -0.012, 
   20.,    4.0,    0.0,   0.36,    0.0,   -1.4,   0.24,   0.24,   0.39, 
   80.,    4.0,   0.24,   0.31,  -0.14,   0.16, 0.0035, -0.034, -0.013, 
   45.,    0.0,   0.15,   0.13,   0.13,   0.12,  0.049,  0.039,  0.069, 
   34.,    4.0,   0.61,  -0.25,  -0.37,  -0.91,  -0.38,  -0.41,  -0.27, 
   83.,    3.0,   0.98, -0.0040,  0.017, 0.0092, 0.0057, 0.0050, -0.00070, 
   2.0,    2.0,   0.62,   0.12,  -0.12,  0.066,  0.063,    0.0,  0.042, 
   59.,    5.0,    3.1,    1.1,  -0.40,  -0.13,    1.2,   0.73,   0.11, 
   95.,    4.0,   0.16,   0.48,   0.36,   0.24,  0.078,  0.073,  0.093, 
   5.0,    4.0,   0.39,  -0.15, -0.046,   0.13,  -0.15,  -0.19,  -0.13, 
   84.,    1.0,   0.70, -0.050,    0.0,  -0.33,  -0.10,  -0.10,  -0.11, 
   5.0,    3.0,   0.99, -0.018, 0.0055, 0.00062, -0.011, -0.011, -0.015, 
   83.,    0.0,   0.18, -0.047,  0.039, -0.068,  0.025,  0.014,  0.019, 
   39.,    0.0,   0.12, -0.020,  0.095, -0.088,  0.082,  0.071,  0.074, 
   32.,    1.0,   0.80,    0.0,  -0.20,  -0.14,  -0.20,  -0.20,  -0.19, 
   64.,    3.0,   0.99, -0.0080, 0.0030, 0.0074, -0.013, -0.013, -0.0073, 
   94.,    3.0,   0.99, -0.0080, -0.016, -0.023, -0.013, -0.013, -0.0092, 
   19.,    4.0,   0.27,  0.010,  -0.17,   0.21, -0.027, -0.064, -0.053, 
   20.,    0.0,   0.28, -0.0044, -0.092, -0.084, -0.082, -0.092, -0.063, 
   46.,    4.0,   0.72,  -0.40,  -0.46,  0.037,  -0.48,  -0.51,  -0.41, 
   6.0,    4.0,   0.73,  -0.37,  -0.73,  -0.72,  -0.49,  -0.52,  -0.46, 
   70.,    0.0,   0.27,   0.12, -0.016,   0.92, -0.071, -0.081, -0.070, 
   92.,    4.0,   0.38,  0.026,  -0.21,  0.052,  -0.14,  -0.18,  -0.22, 
   43.,    5.0,    3.3,   0.96,   0.27,   0.20,    1.1,   0.59, -0.030, 
   6.0,    3.0,    1.0, -0.0045, 0.0015, 0.0013, -0.016, -0.017, 0.00048, 
   64.,    2.0,   0.62,   0.12,    0.0, -0.032,  0.063,    0.0,  0.056, 
   9.0,    5.0,    3.0,   0.33,   0.65,   0.88,    1.4,   0.90,   0.28, 
   10.,    3.0,   0.98, -0.0065, -0.0030, -0.012, 0.0032, 0.0025, -0.0025, 
