     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   73.,    2.0,   0.12,   0.17,   0.11,   0.14,   0.22,   0.19,   0.17, 
   13.,    0.0,   0.20,  0.089,  0.020,  0.063,  0.035, -0.0070,  0.090, 
   57.,    1.0,    0.0,   0.16,   0.16,   0.14,   0.28,   0.24,   0.17, 
   42.,    0.0,   0.20, -0.020, -0.092, -0.059,  0.035, -0.0070, -0.0090, 
   51.,    3.0,   0.30,  0.029, -0.043, 0.0043,  0.036, -0.0020,  0.038, 
   21.,    2.0,   0.44, -0.049, -0.066, -0.049, -0.095,  -0.13, -0.055, 
   23.,    5.0,   0.30,  0.014, -0.0040, -0.011,  0.021, -0.011,  0.064, 
   83.,    5.0,   0.31,  0.024, -0.095,   0.21, 0.0097, -0.022,  -0.16, 
   6.0,    3.0,   0.60, -0.035,  -0.14,  0.097,  -0.27,  -0.30,  -0.13, 
   78.,    4.0,   0.40,  0.033, -0.044,  0.038,   0.14,   0.12,  0.051, 
   18.,    2.0,   0.38,   0.13,   0.11,   0.12, -0.042, -0.081,  0.077, 
   74.,    2.0,   0.26, -0.0015, -0.0050, -0.017,  0.081,  0.047,  0.020, 
   40.,    1.0,   0.35, -0.019, -0.010, -0.089, -0.078,  -0.12,  -0.14, 
   6.0,    2.0,   0.49,  0.091,  0.078,  -0.10,  -0.15,  -0.19,  0.088, 
   49.,    0.0,   0.26, -0.087,  -0.12,  -0.27, -0.031, -0.073, -0.082, 
   26.,    0.0,   0.29,  -0.16,  0.019, -0.0066, -0.057, -0.098, -0.025, 
   76.,    2.0,   0.26, 0.0035, 0.0050, -0.026,  0.086,  0.052, -0.0014, 
   13.,    1.0,   0.35, -0.022, -0.039,  0.044, -0.082,  -0.12,  -0.10, 
   63.,    3.0,   0.26,  0.025, -0.063, -0.027,  0.082,  0.046,   0.12, 
   29.,    0.0,   0.30,  -0.13,  -0.14,  -0.18, -0.071,  -0.11,  -0.14, 
   37.,    0.0,   0.19, -0.014,   0.15,  0.056,  0.042,    0.0,  0.078, 
   9.0,    2.0,   0.53, -0.00050, -0.018, -0.011,  -0.19,  -0.23, -0.016, 
   75.,    2.0,   0.25,  0.013, -0.074, -0.054,  0.095,  0.061, -0.00032, 
   72.,    4.0,   0.52,  -0.11, -0.072, -0.065,  0.014,    0.0, -0.042, 
   93.,    3.0,   0.22, -0.054, -0.064,  0.015,   0.12,  0.082, -0.036, 
   9.0,    2.0,   0.53, -0.00050, -0.018, -0.011,  -0.19,  -0.23, -0.016, 
   16.,    1.0,   0.34,  0.075,  -0.20, -0.089, -0.062,  -0.11,   0.10, 
   77.,    1.0,    0.0,   0.16,   0.12,   0.27,   0.28,   0.24,   0.15, 
   89.,    1.0,   0.19, -0.029, -0.047,  0.050,  0.087,  0.052, 0.0022, 
   14.,    1.0,   0.32, -0.073,   0.16, -0.021, -0.042, -0.085, -0.043, 
   29.,    4.0,   0.65, -0.027,   0.15,  0.032,  -0.12,  -0.13, -0.043, 
   50.,    4.0,   0.52,  -0.10, -0.063,  -0.11,  0.014,    0.0,  0.017, 
   74.,    1.0,   0.13,  0.073,  0.059, -0.038,   0.14,   0.11,  0.076, 
   22.,    5.0,   0.26,  0.081,  0.036, 0.0032,  0.061,  0.031,   0.11, 
   94.,    3.0,   0.18, -0.024,  0.026,  0.069,   0.16,   0.12, -0.026, 
   43.,    3.0,   0.27,  0.048,  0.073,  0.046,  0.070,  0.034,  0.024, 
   50.,    2.0,   0.35, -0.0090, -0.077, -0.048, -0.0056, -0.045,  -0.10, 
   71.,    5.0,   0.22,  0.055,   0.11,  0.075,  0.099,  0.068,  0.057, 
   40.,    4.0,   0.39,   0.14,   0.24,   0.50,   0.15,   0.14,   0.18, 
   63.,    4.0,   0.61,  -0.11,  0.013, -0.0085, -0.070, -0.083, -0.047, 
   40.,    2.0,   0.39, -0.037,  -0.20, -0.072, -0.045, -0.084, -0.086, 
   4.0,    0.0,   0.79,  0.034,  -0.12,  -0.20,  -0.56,  -0.60,  -0.14, 
   18.,    1.0,   0.35,  0.084,   0.14,  0.043, -0.082,  -0.12, 0.00023, 
   69.,    2.0,   0.27, -0.0085, -0.039, -0.040,  0.074,  0.040, -0.051, 
   7.0,    0.0,   0.65,  -0.23,  -0.14,  0.027,  -0.42,  -0.46,  -0.18, 
   95.,    1.0,    0.0,   0.16,    0.0,  0.062,   0.28,   0.24,  0.067, 
   83.,    0.0,   0.42,  -0.25,  -0.24,  -0.24,  -0.19,  -0.23,  -0.15, 
   92.,    5.0,   0.37, -0.069,  0.013, -0.011, -0.057, -0.088,  -0.16, 
   70.,    3.0,   0.21, -0.0075, -0.010,  -0.10,   0.12,  0.088, -0.012, 
   46.,    4.0,   0.52, -0.039,  -0.22,  -0.24,  0.019, 0.0050, -0.033, 
