     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   71.,    0.0,  0.056,   0.11,   0.45,   0.45,  0.026,  0.049, -0.0014,  0.082,  0.017, 
   26.,    2.0,   0.25, -0.035, -0.086,  -0.18,  -0.20,  -0.13,    0.0, -0.074,  -0.13, 
   94.,    5.0,  0.068,  0.066,  0.023, -0.034,    0.0,  0.023, -0.034,  0.042, -0.023, 
   8.0,    2.0,   0.25,   0.10,   0.13,  0.063,    0.0,  0.031,    0.0, -0.074,  -0.13, 
   4.0,    1.0,  0.029,  0.033,  0.035, -0.012, 0.0080,  0.027,  0.031,  0.066,  0.031, 
   64.,    5.0,   0.31,  -0.24,  -0.25,  -0.21,  -0.23,  -0.29,  -0.23,  -0.20,  -0.26, 
   87.,    3.0,    0.0,  0.036,  0.016,    0.0,    0.0,    0.0,    0.0,   0.11,  0.031, 
   96.,    0.0,   0.39,  -0.20,   0.11,   0.11,   0.34,   0.14,   0.34,  -0.26,  -0.32, 
   77.,    5.0,   0.36,  -0.21,  0.054,  -0.29,  -0.26,  0.091,  -0.23,  -0.26,  -0.32, 
   8.0,    4.0,   0.15,  0.035,  0.039,    0.0,  0.039, -0.034,    0.0, -0.058, -0.096, 
   9.0,    4.0,  0.019,  0.036,    0.0,    0.0,    0.0,  0.024,    0.0,  0.078,  0.039, 
   39.,    0.0,  0.022,  0.098,   0.48,   0.48, 0.0033, 0.0017,    0.0,   0.12,  0.051, 
   49.,    0.0,  0.090,  0.094,   0.21,   0.21,  0.042, -0.028,   0.10,  0.047, -0.017, 
   73.,    4.0,   0.15,  0.034,  0.039,    0.0,   0.19,  0.038,    0.0, -0.058, -0.096, 
   50.,    3.0,    0.0,  0.036,  0.016,    0.0, 0.0078, 0.0039,  0.016,   0.11,  0.031, 
   12.,    2.0,  0.062,  0.026, 0.0077, -0.047,    0.0, 0.00023,    0.0,   0.12,  0.062, 
   27.,    5.0,  0.011,  0.059, 0.0028, 0.0028, 0.0056, 0.0084,    0.0,   0.10,  0.034, 
   96.,    3.0,    0.0,  0.036,  0.016,    0.0,    0.0,    0.0,    0.0,   0.11,  0.031, 
   99.,    1.0,   0.25,  0.050,   0.50,   0.13,  0.063,   0.28,   0.25,  -0.16,  -0.19, 
   4.0,    0.0,   0.14,  0.025,   0.37,   0.37,   0.26,   0.15, -0.071, -0.00019, -0.064, 
   24.,    4.0,  0.019,  0.036, 0.0097,    0.0, 0.0097, 0.0096,    0.0,  0.078,  0.039, 
   17.,    4.0,   0.31,  0.026,  -0.15,  -0.15,  -0.15,  -0.12,  -0.15,  -0.21,  -0.25, 
   34.,    4.0,  0.058,  0.023,    0.0, -0.0096, -0.039, -0.019,    0.0,  0.039,    0.0, 
   56.,    1.0,   0.50,  -0.21,  -0.38,  -0.19,    0.0,   0.13,    0.0,  -0.41,  -0.44, 
   23.,    3.0,  0.062,  0.024,   0.19,   0.19,  0.078, -0.015,    0.0,  0.047, -0.031, 
   61.,    0.0,   0.26, -0.098,   0.24,   0.24,   0.20, 0.0074,  -0.15,  -0.12,  -0.19, 
   34.,    2.0,  0.062,  0.086,  0.094,   0.19,    0.0,   0.13,    0.0,   0.12,  0.062, 
   95.,    5.0,  0.091,   0.12,  0.045,  0.045,  0.068,  0.045,  0.045,  0.020, -0.045, 
   53.,    0.0,  0.029,  0.091,   0.47,   0.47, -0.0067, -0.0055, -0.0067,   0.11,  0.044, 
   80.,    5.0,  0.034,  0.062,  0.040,  0.011,  0.037,  0.037,    0.0,  0.077,  0.011, 
   71.,    4.0,  0.038,  0.025, -0.019, -0.019, -0.019, 0.0047,    0.0,  0.058,  0.019, 
   48.,    2.0,  0.096,  0.089, 0.0047,  0.028, -0.027, -0.022, -0.034,  0.081,  0.028, 
   78.,    0.0,   0.31,  -0.13,   0.19,   0.19,   0.46,  0.078,   0.22,  -0.18,  -0.24, 
