     i,      c,     ev,    dom,    knn,    lrg,   mean,    med,    reg, 
   95.,    4.0,   0.50,  -0.25,  -0.25,  -0.25,  -0.36,  -0.41, -0.010, 
   38.,    0.0,  0.042,   0.46,   0.34,   0.41,   0.20,   0.11,   0.22, 
   13.,    0.0,  0.042,   0.46,  0.013, -0.048,   0.20,   0.11,   0.18, 
   69.,    0.0,   0.11,   0.39,    0.0,  0.034,   0.13,  0.044,   0.15, 
   41.,    0.0,  0.042,   0.46,    0.0, -0.011,   0.20,   0.11,   0.22, 
   88.,    1.0,  0.061,    0.0,    0.0,  0.088,  0.027, -0.031,   0.25, 
   73.,    3.0,    0.0,  0.016,  0.023,  0.021,  0.090,  0.031,  0.071, 
   68.,    0.0,   0.11,   0.39,  0.088,   0.11,   0.13,  0.044,   0.17, 
   69.,    0.0,   0.11,   0.39,    0.0,  0.034,   0.13,  0.044,   0.15, 
   46.,    3.0,  0.031, -0.031, -0.031, -0.031,  0.058,    0.0,  0.036, 
   88.,    3.0,   0.12, 0.0020,    0.0, -0.026, -0.036, -0.094, -0.038, 
   0.0,    5.0,    1.0,  -0.92,  -0.81,  -0.49,  -0.84,  -0.88,  -0.82, 
   60.,    1.0, 0.0060,  0.012,    0.0, 8.7e-19,  0.082,  0.023,  0.048, 
   22.,    3.0,    0.0,  0.031,    0.0,   0.35,  0.090,  0.031,  0.091, 
   48.,    4.0,  0.031,    0.0,    0.0, -0.0027,   0.11,  0.063,  0.061, 
   70.,    2.0,   0.12,  0.039, -0.062, -0.062,  0.056,    0.0,  0.028, 
   19.,    5.0,   0.50,    0.0,  -0.31,  -0.20,  -0.34,  -0.37,  -0.31, 
   6.0,    3.0,   0.25,   0.13,    0.0, -0.050,  -0.16,  -0.22,  0.018, 
   14.,    0.0,   0.42,  0.084,   0.16,   0.28,  -0.18,  -0.26,  -0.12, 
   19.,    4.0,   0.25,   0.13,  -0.22,  -0.74,  -0.11,  -0.16, -0.044, 
   62.,    0.0,   0.14,   0.37,   0.22,   0.20,   0.10,  0.019,   0.16, 
   40.,    4.0,  0.094, -0.031, -0.063,  -0.10,  0.048,    0.0, 0.0099, 
   42.,    0.0,  0.042,   0.46,    0.0,  0.010,   0.20,   0.11,   0.22, 
   59.,    3.0,    0.0,  0.031,    0.0,    0.0,  0.090,  0.031,  0.065, 
   84.,    3.0,    0.0,  0.031,    0.0, -0.027,  0.090,  0.031,  0.074, 
