     i,      c,     ev,    reg,    dom,   diff,     dk,    dk2,    knn,   mean,    med, 
   54.,    2.0,   0.77, 0.0040,   0.15,   0.15,   0.23,   0.14, -0.011, -0.097, -0.077, 
   63.,    2.0,   0.77,   0.10,   0.12,   0.12,  0.063, 0.00025,  0.049, -0.092, -0.072, 
   41.,    1.0,   0.87, -0.095, -0.043, -0.043,  -0.23,  -0.12,  0.016, -0.069, -0.023, 
   63.,    2.0,   0.77,   0.10,   0.12,   0.12,  0.063, 0.00025,  0.049, -0.092, -0.072, 
   85.,    0.0,   0.70, -0.068,  -0.30,  -0.30,  -0.15, -0.092,  -0.14,  0.038,   0.10, 
   69.,    2.0,   0.62,  0.016, -0.035, -0.035,   0.15,  0.041,   0.27,  0.050,  0.085, 
   28.,    0.0,   0.45,  0.086, -0.0048, -0.0048,   0.15,  0.071,   0.15,   0.30,   0.36, 
   43.,    2.0,   0.61,  -0.21, -0.040, -0.040,  0.021, -0.0070, 0.0040,  0.063,  0.098, 
   95.,    1.0,   0.64,  0.078,  0.015,  0.015,   0.10,  0.039,  -0.15,   0.16,   0.21, 
   41.,    0.0,   0.77, -0.061, -0.0021, -0.0021,  0.022, -0.0072,  0.074, -0.026,  0.039, 
   67.,    0.0,   0.81, -0.097,  -0.20,  -0.20,  -0.27,  -0.14,  -0.54, -0.070, -0.0074, 
   32.,    2.0,   0.89,  -0.23, -0.041, -0.041, -0.080, -0.073,  -0.27,  -0.22,  -0.20, 
   19.,    1.0,   0.65, -0.012, -0.057, -0.057,  0.039,  0.087, -0.079,   0.15,   0.20, 
   74.,    1.0,   0.52,   0.18,   0.11,   0.11,   0.11,  0.045,   0.18,   0.29,   0.33, 
   91.,    2.0,    1.0,  -0.26,  -0.15,  -0.15,  -0.25,  -0.17,  -0.28,  -0.33,  -0.31, 
   60.,    0.0,   0.60, -0.066,  -0.15,  -0.15, -0.082, -0.062,  -0.15,   0.15,   0.21, 
   10.,    2.0,   0.50, -0.030, -0.090, -0.090,  -0.20,  -0.22,  -0.10,   0.17,   0.21, 
   5.0,    0.0,   0.44,   0.34,   0.34,   0.34,   0.38,   0.41,   0.38,   0.30,   0.36, 
   28.,    0.0,   0.45,  0.086, -0.0048, -0.0048,   0.15,  0.071,   0.15,   0.30,   0.36, 
   5.0,    1.0,   0.85, 0.0035, -0.070, -0.070, -0.082, -0.072, -0.057, -0.041, 0.0081, 
   1.0,    1.0,   0.91,  -0.13,  -0.16,  -0.16,  -0.18,  -0.13,  -0.36,  -0.11, -0.062, 
   42.,    0.0,    1.0, -0.074, -0.035, -0.035, -0.049,  -0.28, -0.046,  -0.26,  -0.20, 
   19.,    2.0,   0.41,  0.097,  0.089,  0.089,   0.17,   0.13,   0.13,   0.27,   0.30, 
   58.,    1.0,   0.91,  -0.18,  -0.16,  -0.16,  -0.29,  -0.16,  0.013,  -0.10, -0.055, 
   64.,    1.0,   0.55,  0.041, -0.020, -0.020,  0.014,  0.032, -0.0020,   0.26,   0.31, 
   67.,    2.0,   0.65, -0.054, -0.066, -0.066, -0.042, -0.023, -0.059,  0.024,  0.059, 
   4.0,    2.0,   0.62,  -0.22,  -0.12,  -0.12, -0.046, -0.095,  -0.23,  0.059,  0.094, 
   11.,    2.0,   0.77,  0.049,   0.11,   0.11,  0.049,  0.034,  -0.17, -0.099, -0.079, 
   66.,    2.0,   0.64, -0.046,  -0.20,  -0.20,  -0.20, -0.016,  -0.20,  0.032,  0.067, 
